Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
153.9,103,154.09,153,9,-1.1,153,155,165,ASMAK,153,"Tue, 25 Jan 2022 10:58:25 GMT",2149083,AEI000201014,152.1,44.9,510,International Holding Company PJSC,154.5,-0.71,154.1,153,Investment & Financial Services,IHC,,,727,331151526,2149083, , 
1.74,73125,1.73,1.73,13525,-0.01,1.74,1.75,2.32,JULPHAR,1.74,"Tue, 25 Jan 2022 08:40:28 GMT",51002,AEG000201018,1.73,1.2,510,Gulf Pharmaceutical Industries,1.73,-0.57,1.75,1.74,Industrial,JULPHAR,,,3,88244,51002, , 
0.51,150000,0.5,0.5,10400,0,0.5,0.51,0.64,MANAZEL,0.5,"Tue, 25 Jan 2022 10:34:58 GMT",1703626,AEM000601017,0.5,0.33,517,Manazel PJSC,0.51,-0.4,0.51,0.503,Other,MANAZEL,,,34,859470,1703626, , 
0.76,101060,0.74,0.74,20000,0,0.76,0.76,1.2,METHAQ,0.76,"Tue, 25 Jan 2022 07:01:25 GMT",2854167,AEM000201016,0.74,0.71,510,Methaq Takaful Insurance Compnay,0.74,0,0.76,0.758,Insurance,METHAQ,,,2,2112102,2854167, ,20 
1.69,81551,1.68,1.68,80718,0.02,1.69,1.7,2.35,MULTIPLY,1.69,"Tue, 25 Jan 2022 10:55:00 GMT",28845575,AEM001001019,1.65,1.6,510,Multiply Group PJSC,1.66,1.2,1.67,1.69,Investment & Financial Services,MULTIPLY,,,305,48328900,28845575, ,
1.79,200000,1.7,1.7,1000000,0,1.7,1.8,2.24,NBQ,1.7,"Tue, 25 Jan 2022 09:56:05 GMT",9328000,AEN000701013,1.7,1.35,510,National Bank of Umm Al Qaiwain,1.8,0,1.7,1.7,Banks,NBQ,,,4,15877600,9328000, , 
13,21,13,12.98,4625,0.02,13,13,15,NMDC,13,"Tue, 25 Jan 2022 09:57:50 GMT",1327438,AEN000401010,13,5.75,510,National Marine Dredging Co.,13,0.15,12.98,13,Services,NMDC,,,78,17256694,1327438, , 
7.24,4840,6.3,6.3,94852,0,6.3,6.3,7.65,QTEL,6.3,"Tue, 25 Jan 2022 09:28:24 GMT",5148,QA0007227737,6.3,5.81,510,OOREDOO,6.3,0,6.3,6.3,Telecommunication,ORDS,,,1,32432,5148, , 
11.8,4000,11.8,11.28,44,-0.06,11.8,11.8,21.48,PALMS,11.8,"Tue, 25 Jan 2022 06:07:05 GMT",403215,AEP000201019,11.8,10.5,517,PALMS SPORTS PrJSC,11.8,-0.51,11.86,11.8,Other,PALMS,,,10,4757937,403215, , 
4.72,1000,4.7,4.7,48580,0,4.7,4.7,4.72,RAKBANK,4.7,"Tue, 25 Jan 2022 08:40:25 GMT",276266,AEN000601015,4.7,3.63,510,The National Bank of Ras Al Khaimah,4.7,0,4.7,4.7,Banks,RAKBANK,,,23,1298450,276266, , 
2.93,30650,2.93,2.9,32158,-0.02,2.92,2.94,3.08,RAKCEC,2.92,"Tue, 25 Jan 2022 10:55:00 GMT",62538,AER000301013,2.92,1.56,510,RAK Ceramics PJSC,2.93,-0.68,2.94,2.92,Industrial,RAKCEC,,,17,182959,62538, , 
5.74,9565,5.7,5.71,179,-0.07,5.73,5.8,8.7,RAKCC,5.73,"Tue, 25 Jan 2022 10:59:44 GMT",546123,AER000401011,5.68,0.66,510,Ras Al Khaimah Cement Investment Company P.S.C.,5.71,-1.21,5.8,5.73,Industrial,RAKCIC,,,74,3114421,546123, , 
0.78,750000,0.77,0.78,41134,0,0.78,0.79,0.83,RAKPROP,0.78,"Tue, 25 Jan 2022 10:57:37 GMT",7599847,AER000601016,0.77,0.5,510,RAK Properties,0.78,-0.38,0.78,0.779,Real Estate,RAKPROP,,,152,5872623,7599847, , 
1.6,15000,1.5,1.5,152014,0,1.5,1.5,2.3,RAKWCT,1.5,"Tue, 25 Jan 2022 09:45:46 GMT",162986,AER000101017,1.5,0.66,510,RAK Co. for White Cement & Construction Materials,1.5,0,1.5,1.5,Industrial,RAKWCT,,,4,244479,162986, , 
2.49,22000,2.49,0,0,-0.27,2.49,2.49,3.9,RAPCO,2.49,"Tue, 25 Jan 2022 08:13:15 GMT",2000,AER000201015,2.49,1.3,510,Ras Al Khaimah Poultry & Feeding Co.,2.49,-9.78,2.76,2.49,Consumer Staples,RAPCO,,,1,4980,2000, , 
8.17,989,8.26,7.7,491,0.62,8.17,8.5,20,RPM,8.17,"Tue, 25 Jan 2022 10:55:00 GMT",533386,AER001001018,7.3,7.05,517,Response Plus Holding PrJSC,7.6,8.21,7.55,8.17,Other,RPM,,,57,4407253,533386, , 
0.71,6295,0.71,0.68,732,-0.01,0.71,0.71,0.86,SCIDC,0.71,"Tue, 25 Jan 2022 07:39:22 GMT",10,AES000401019,0.71,0.55,510,Sharjah Cement and Industrial Development Co.,0.71,-1.52,0.73,0.714,Industrial,SCIDC,,,1,7,10, , 
1.94,100000,1.95,1.93,52000,-0.04,1.93,1.97,2.05,NBS,1.93,"Tue, 25 Jan 2022 10:41:36 GMT",5371867,AES000201013,1.93,1.3,510,Sharjah Islamic Bank,1.97,-2.03,1.97,1.93,Banks,SIB,,,57,10486344,5371867, , 
0.35,49990,0.34,0.34,94000,-0.01,0.35,0.36,0.43,SUDATEL,0.35,"Tue, 25 Jan 2022 10:55:00 GMT",469190,SD000A0F5KV7,0.34,0.32,510,Sudatel Telecommunications Group Company Limited,0.34,-2.52,0.36,0.348,Telecommunication,SUDATEL,,,13,158629,469190, , 
1.27,137047,1.26,1.26,417242,-0.03,1.27,1.3,1.55,TAQA,1.27,"Tue, 25 Jan 2022 10:55:00 GMT",10401559,AEA002401015,1.25,1.15,510,Abu Dhabi National Energy Company,1.3,-2.31,1.3,1.27,Energy,TAQA,,,139,13128036,10401559, , 
1.63,6494,1.61,1.62,103442,0.04,1.63,1.64,1.96,OILC,1.63,"Tue, 25 Jan 2022 10:55:00 GMT",652644,AEA000701010,1.58,1.08,510,Waha Capital Company,1.58,2.52,1.59,1.63,Investment & Financial Services,WAHA,,,48,1052075,652644, , 
2.69,125787,2.68,2.68,140976,-0.02,2.68,2.7,3.1,YAHSAT,2.68,"Tue, 25 Jan 2022 10:55:00 GMT",1273497,AEA007501017,2.66,2.46,510,Al Yah Satellite Communications Company PJSC,2.69,-0.74,2.7,2.68,Telecommunication,YAHSAT,,,68,3412158,1273497, , 
0,0,26.51,29.96,4892,3.9,29.96,29.96,53,ZS,29.96,"Tue, 25 Jan 2022 09:01:40 GMT",466021,AEZ000101010,26.18,7.95,517,ZEE STORE PrJSC,26.18,14.97,26.06,29.96,Other,ZS,,,87,12354297,466021, , 
