Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
0.62,40000,0.58,0.58,3440,-0.06,0.58,0.58,1.33,FCI,0.58,"Thu, 27 Jan 2022 08:21:57 GMT",10,AEF000301018,0.58,0.49,510,Fujairah Cement Industries,0.58,-9.37,0.64,0.58,Industrial,FCI,,,1,6,10, , 
3.86,231491,3.83,3.85,288934,0,3.85,3.86,4.02,FERTIGLOBE,3.85,"Thu, 27 Jan 2022 09:28:57 GMT",3957933,AEF000901015,3.8,2.92,510,Fertiglobe plc,3.81,0,3.85,3.85,Industrial,FERTIGLB,,,106,15165060,3957933, , 
0.68,90000,0.7,0.65,37400,0.02,0.67,0.71,1,GCEM,0.67,"Thu, 27 Jan 2022 07:50:34 GMT",151005,AEG000101010,0.67,0.63,510,Gulf Cement Co.,0.71,3.72,0.65,0.67,Industrial,GCEM,,,9,105796,151005, , 
152.7,828,152.78,152.2,2110,0.2,152.2,153,165,ASMAK,152.2,"Thu, 27 Jan 2022 09:18:26 GMT",1878100,AEI000201014,152,45.2,510,International Holding Company PJSC,152,0.13,152,152.2,Investment & Financial Services,IHC,,,521,286939268,1878100, , 
1.75,129500,1.75,1.74,79032,0,1.75,1.78,2.32,JULPHAR,1.75,"Thu, 27 Jan 2022 08:22:01 GMT",18607,AEG000201018,1.74,1.2,510,Gulf Pharmaceutical Industries,1.78,0,1.75,1.75,Industrial,JULPHAR,,,7,32471,18607, , 
0.5,139240,0.5,0.5,713215,0,0.5,0.51,0.64,MANAZEL,0.5,"Thu, 27 Jan 2022 08:15:05 GMT",841990,AEM000601017,0.5,0.33,517,Manazel PJSC,0.51,-0.2,0.5,0.501,Other,MANAZEL,,,23,423556,841990, , 
0.76,55000,0.73,0.74,76295,-0.02,0.74,0.74,1.2,METHAQ,0.74,"Thu, 27 Jan 2022 07:02:20 GMT",5463,AEM000201016,0.73,0.71,510,Methaq Takaful Insurance Compnay,0.73,-2.13,0.75,0.735,Insurance,METHAQ,,,2,3995,5463, ,20 
1.68,554222,1.67,1.67,18000,0.02,1.68,1.69,2.35,MULTIPLY,1.68,"Thu, 27 Jan 2022 09:29:10 GMT",63908211,AEM001001019,1.64,1.6,510,Multiply Group PJSC,1.66,1.2,1.66,1.68,Investment & Financial Services,MULTIPLY,,,370,106424936,63908211, ,
1.85,500000,1.71,1.7,1000000,-0.09,1.71,1.71,2.24,NBQ,1.71,"Thu, 27 Jan 2022 06:59:55 GMT",1460685,AEN000701013,1.71,1.35,510,National Bank of Umm Al Qaiwain,1.71,-5,1.8,1.71,Banks,NBQ,,,1,2497771,1460685, , 
13.44,28000,13.43,13.42,3440,-0.02,13.42,13.46,15,NMDC,13.42,"Thu, 27 Jan 2022 08:36:11 GMT",1201006,AEN000401010,13.38,5.75,510,National Marine Dredging Co.,13.46,-0.15,13.44,13.42,Services,NMDC,,,48,16125269,1201006, , 
11.4,1000,11.04,10.92,9050,-0.02,11,11.04,21.48,PALMS,11,"Thu, 27 Jan 2022 09:17:45 GMT",331373,AEP000201019,11,10.5,517,PALMS SPORTS PrJSC,11.04,-0.18,11.02,11,Other,PALMS,,,9,3657867,331373, , 
2.97,60452,2.97,2.96,83860,0.02,2.96,3,3.08,RAKCEC,2.96,"Thu, 27 Jan 2022 08:56:29 GMT",118360,AER000301013,2.96,1.56,510,RAK Ceramics PJSC,2.99,0.68,2.94,2.96,Industrial,RAKCEC,,,11,351796,118360, , 
5.45,22390,5.46,5.4,74604,-0.21,5.45,5.66,8.7,RAKCC,5.45,"Thu, 27 Jan 2022 09:28:48 GMT",938871,AER000401011,5.4,0.66,510,Ras Al Khaimah Cement Investment Company P.S.C.,5.66,-3.71,5.66,5.45,Industrial,RAKCIC,,,170,5124737,938871, , 
0.79,30000,0.79,0.79,70329,-0.01,0.79,0.79,0.83,RAKPROP,0.79,"Thu, 27 Jan 2022 09:22:03 GMT",3542250,AER000601016,0.78,0.5,510,RAK Properties,0.79,-1.13,0.8,0.786,Real Estate,RAKPROP,,,76,2788321,3542250, , 
