$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
60,0,40,GUINNESS,42.5,42.5,,,,,,52,617520,28371155.25,Main Board,CONSUMER GOODS,GUINNESS ,2022-01-27T00:00:00
61,0,41,HONYFLOUR,3.4,3.4,,,,,,18,42741,147305.71,Main Board,CONSUMER GOODS,HONYFLOUR ,2022-01-27T00:00:00
62,0,48,IKEJAHOTEL,1.28,1.28,,,,,,3,50100,67624.8,Main Board,SERVICES,IKEJAHOTEL ,2022-01-27T00:00:00
63,0,34,IMG,9.5,9.5,,,,,,12,58497,571123.4,Main Board,NATURAL RESOURCES,IMG ,2022-01-27T00:00:00
64,0,3,INFINITY,1.32,1.32,,,,,,0,,,Main Board,FINANCIAL SERVICES,INFINITY [BLS],2022-01-27T00:00:00
65,10,127,INTBREW,5,5,5.5,5.05,5.5,0.5,10,62,7842767,40495716.1,Main Board,CONSUMER GOODS,INTBREW [BLS],2022-01-27T00:00:00
66,0,128,INTENEGINS,0.38,0.38,,,,,,0,,,Main Board,FINANCIAL SERVICES,INTENEGINS [MRS],2022-01-27T00:00:00
67,0,12,JAIZBANK,0.7,0.7,,,,,,18,99545,69558.12,Main Board,FINANCIAL SERVICES,JAIZBANK ,2022-01-27T00:00:00
68,0,135,JAPAULGOLD,0.39,0.39,0.39,0.39,0.39,0,,13,732710,289306.9,Main Board,OIL AND GAS,JAPAULGOLD ,2022-01-27T00:00:00
69,0,126,JBERGER,23.4,23.4,,,,,,25,351236,8261160.75,Main Board,CONSTRUCTION/REAL ESTATE,JBERGER ,2022-01-27T00:00:00
70,0,125,JOHNHOLT,0.72,0.72,,,,,,1,1333,999.75,Main Board,CONGLOMERATES,JOHNHOLT ,2022-01-27T00:00:00
71,0,136,JULI,0.91,0.91,,,,,,0,,,ASeM,SERVICES,JULI ,2022-01-27T00:00:00
72,0,129,LASACO,1.13,1.13,1.13,1.13,1.13,0,,8,518568,586277.14,Main Board,FINANCIAL SERVICES,LASACO ,2022-01-27T00:00:00
73,0,137,LEARNAFRCA,1.4,1.4,,,,,,6,18861,26572.01,Main Board,SERVICES,LEARNAFRCA ,2022-01-27T00:00:00
74,0,131,LINKASSURE,0.52,0.52,,,,,,1,15000,7650,Main Board,FINANCIAL SERVICES,LINKASSURE ,2022-01-27T00:00:00
75,-1.4285714285714286,124,LIVESTOCK,2.1,2.1,2.07,2.07,2.07,-0.03,-1.43,5,328900,681506,Main Board,AGRICULTURE,LIVESTOCK ,2022-01-27T00:00:00
76,0,9,LIVINGTRUST,1.14,1.14,,,,,,1,500,575,Growth Board,FINANCIAL SERVICES,LIVINGTRUST [BLS],2022-01-27T00:00:00
