$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
66,0,55,INTENEGINS,0.38,0.38,,,,,,0,,,Main Board,FINANCIAL SERVICES,INTENEGINS [MRS],2022-01-26T00:00:00
67,1.4492753623188406,106,JAIZBANK,0.69,0.69,0.7,0.7,0.7,0.01,1.45,23,4148263,2903213.32,Main Board,FINANCIAL SERVICES,JAIZBANK ,2022-01-26T00:00:00
68,-4.878048780487805,61,JAPAULGOLD,0.41,0.41,0.39,0.39,0.39,-0.02,-4.88,15,890477,349147.23,Main Board,OIL AND GAS,JAPAULGOLD ,2022-01-26T00:00:00
69,2.6315789473684212,53,JBERGER,22.8,22.8,23.4,23.4,23.4,0.6,2.63,18,278155,6477603.25,Main Board,CONSTRUCTION/REAL ESTATE,JBERGER ,2022-01-26T00:00:00
70,0,52,JOHNHOLT,0.72,0.72,,,,,,1,1,0.75,Main Board,CONGLOMERATES,JOHNHOLT ,2022-01-26T00:00:00
71,0,62,JULI,0.91,0.91,,,,,,0,,,ASeM,SERVICES,JULI ,2022-01-26T00:00:00
72,0,56,LASACO,1.13,1.13,1.13,1.13,1.13,0,,15,1170000,1322100,Main Board,FINANCIAL SERVICES,LASACO ,2022-01-26T00:00:00
73,8.527131782945736,63,LEARNAFRCA,1.29,1.29,1.4,1.4,1.4,0.11,8.53,16,376756,526585.4,Main Board,SERVICES,LEARNAFRCA ,2022-01-26T00:00:00
74,0,58,LINKASSURE,0.56,0.56,,,,,,2,8280,4388.4,Main Board,FINANCIAL SERVICES,LINKASSURE ,2022-01-26T00:00:00
75,0,51,LIVESTOCK,2.12,2.12,2.13,2.12,2.12,0,0.47,16,875868,1860005.36,Main Board,AGRICULTURE,LIVESTOCK ,2022-01-26T00:00:00
76,0,120,LIVINGTRUST,1.14,1.14,,,,,,7,431000,450640,Growth Board,FINANCIAL SERVICES,LIVINGTRUST [BLS],2022-01-26T00:00:00
77,0,57,MANSARD,2.36,2.36,,,,,,12,172026,406031.52,Main Board,FINANCIAL SERVICES,MANSARD ,2022-01-26T00:00:00
78,0,59,MAYBAKER,4.5,4.5,,,,,,7,61807,273753.11,Main Board,HEALTHCARE,MAYBAKER ,2022-01-26T00:00:00
79,3.8461538461538463,17,MBENEFIT,0.26,0.26,0.27,0.26,0.27,0.01,3.85,13,993331,266809.69,Main Board,FINANCIAL SERVICES,MBENEFIT ,2022-01-26T00:00:00
80,0,10,MCNICHOLS,0.77,0.77,,,,,,0,,,Growth Board,CONSUMER GOODS,MCNICHOLS ,2022-01-26T00:00:00
81,0,7,MEDVIEWAIR,1.62,1.62,,,,,,0,,,Main Board,SERVICES,MEDVIEWAIR [BMF],2022-01-26T00:00:00
82,0,85,MEYER,0.55,0.55,,,,,,1,545,327,Main Board,INDUSTRIAL GOODS,MEYER ,2022-01-26T00:00:00
83,0,19,MORISON,1.99,1.99,,,,,,0,,,Main Board,HEALTHCARE,MORISON ,2022-01-26T00:00:00
84,0,23,MRS,13.55,13.55,,,,,,2,126,1568.7,Main Board,OIL AND GAS,MRS ,2022-01-26T00:00:00
85,0,8,MTNN,190,190,190,190,190,0,,50,1041663,197914626.5,Premium Board,ICT,MTNN ,2022-01-26T00:00:00
86,0,11,MULTITREX,0.36,0.36,,,,,,0,,,Main Board,CONSUMER GOODS,MULTITREX [DIP],2022-01-26T00:00:00
87,5,22,MULTIVERSE,0.2,0.2,0.22,0.2,0.21,0.01,5,70,33792384,7001110.3,Main Board,NATURAL RESOURCES,MULTIVERSE ,2022-01-26T00:00:00
