Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
25.08,16245,25.08,25.04,17143,-0.08,25.04,25.16,30.2,ALPHADHABI,25.04,"Fri, 28 Jan 2022 10:34:14 GMT",2751021,AEA007601015,25.04,15,510,Alpha Dhabi Holding PJSC,25.06,-0.32,25.12,25.04,Investment & Financial Services,ALPHADHABI,,,138,68997492,2751021, , 
4.37,15000,4.34,4.21,8000,-0.25,4.16,4.4,8.09,ALQUDRA,4.16,"Fri, 28 Jan 2022 10:32:00 GMT",919451,AEA006501018,4.16,0.84,517,Al Qudra Holding,4.4,-5.67,4.41,4.16,Other,ALQUDRA,,,111,3991132,919451, , 
1.39,46524,1.39,1.38,521044,-0.01,1.39,1.41,1.84,ARKAN,1.39,"Fri, 28 Jan 2022 10:31:23 GMT",581422,AEA002801016,1.37,0.7,510,Arkan Building Materials Company,1.41,-0.71,1.4,1.39,Industrial,ARKAN,,,23,809386,581422, , 
12.2,5980,12.21,12.12,290,0.04,12.2,12.28,16.94,ASM,12.2,"Fri, 28 Jan 2022 10:06:34 GMT",347301,AEA00701013 ,12.06,11.3,517,Al   Seer Marine Supplies & Equipment Company P.J.S.C,12.06,0.33,12.16,12.2,Other,ASM,,,17,4240758,347301, , 
0.55,36000,0.55,0.55,100000,-0.01,0.55,0.58,0.76,BOS,0.55,"Fri, 28 Jan 2022 09:35:10 GMT",349000,AEB000101011,0.55,0.5,510,Bank of Sharjah,0.58,-1.79,0.56,0.55,Banks,BOS,,,17,193305,349000, , 
4.99,39284,4.98,4.98,10605,0.07,4.99,4.99,5.2,CHAEIN,4.99,"Fri, 28 Jan 2022 10:02:57 GMT",25900,IE00BKDMN700,4.97,3.68,515,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,4.97,1.42,4.92,4.99,Other,CHAEIN,,,4,128978,25900, ,
6.73,31881,6.7,6.71,21006,0.09,6.72,6.72,7.1,CHAESH,6.72,"Fri, 28 Jan 2022 10:04:16 GMT",41243,AEC000730023,6.67,4.71,515,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,6.67,1.36,6.63,6.72,Other,CHAESH,,,5,276315,41243, ,
3.66,5226,3.65,3.65,5057,-0.02,3.65,3.67,3.72,CHSASHIN,3.65,"Fri, 28 Jan 2022 10:34:11 GMT",114165,AEC000730049,3.64,3.63,515,CHIMERA S&P KSA SHARIAH ETF-SHARE CLASS B-INCOME,3.67,-0.54,3.67,3.65,Other,CHSASHIN,,,20,416762,114165, ,
1.03,4703346,1.02,1.02,630089,0,1.02,1.03,1.27,DANA,1.02,"Fri, 28 Jan 2022 10:28:31 GMT",4074596,AED000701014,1.01,0.67,510,DANA GAS PJSC,1.02,0,1.02,1.02,Energy,DANA,,,67,4155794,4074596, , 
20.92,1765,20.92,20.9,3129,-0.14,20.92,20.92,23.8,DRIVE,20.92,"Fri, 28 Jan 2022 07:29:46 GMT",20,AEE000601014,20.92,13.44,510,Emirates Driving Company,20.92,-0.66,21.06,20.92,Services,DRIVE,,,1,418,20, , 
29,1950,29.79,28,354,-1,29,29.98,66.85,EASYLEASE,29,"Fri, 28 Jan 2022 09:18:26 GMT",83121,AEE002801018,27.62,19,517,Easy Lease Motorcycle Rental PJSC,28.22,-3.33,30,29,Other,EASYLEASE,,,20,2475804,83121, , 
7.97,1400,7.95,7.72,100,-0.22,7.75,8,11.8,ESG,7.75,"Fri, 28 Jan 2022 10:33:35 GMT",1774848,AEE002901016,7.75,3.01,517,ESG EMIRATES STALLIONS GROUP P.J.S.C,7.97,-2.76,7.97,7.75,Other,ESG,,,68,14104280,1774848, , 
0.33,222039,0.33,0.33,47000,0,0.33,0.33,0.48,ESHRAQ,0.33,"Fri, 28 Jan 2022 10:27:21 GMT",4318635,AEE000901018,0.33,0.29,510,ESHRAQ INVESTMENTS P.J.S.C,0.33,0.3,0.33,0.332,Investment & Financial Services,ESHRAQ,,,80,1426518,4318635, ,20 
33.12,18112,32.91,33.1,13992,0.46,33.12,33.18,37,ETISALAT,33.12,"Fri, 28 Jan 2022 10:33:32 GMT",2273447,AEE000401019,32.32,19.68,510,Emirates Telecom. Group Company (Etisalat Group) PJSC,32.66,1.41,32.66,33.12,Telecommunication,ETISALAT,,,595,74810338,2273447, , 
20.58,25446,20.45,20.56,9281,-0.04,20.56,20.66,21,NBAD,20.56,"Fri, 28 Jan 2022 10:33:37 GMT",14412259,AEN000101016,20.2,14.1,510,First Abu Dhabi Bank,20.4,-0.19,20.6,20.56,Banks,FAB,,,894,294795788,14412259, , 
3.86,306213,3.86,3.85,212966,0.02,3.86,3.87,4.02,FERTIGLOBE,3.86,"Fri, 28 Jan 2022 10:28:06 GMT",2958558,AEF000901015,3.84,2.92,510,Fertiglobe plc,3.85,0.52,3.84,3.86,Industrial,FERTIGLB,,,114,11405560,2958558, , 
